,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
178,"ÎëòÎ¶¨Ìã∞ÎπÑ https://t.co/Xsm5GUMIa5  https://t.co/Xsm5GUMIa5

Àê #mlb #ÌîÑÎ¶¨Î©îÎùºÎ¶¨Í∞Ä #Î©îÏù¥Ï†ÄÎ¶¨Í∑∏

#ÏùºÎ≥∏ÏïºÍµ¨ #nba #ÌîÑÎ¶¨ÎØ∏Ïñ¥Î¶¨Í∑∏ #Ï∂ïÍµ¨Ï§ëÍ≥Ñ #Ìï¥Ïô∏Ï∂ïÍµ¨

#Ïä§Ìè¨Ï∏†Ï§ëÍ≥Ñ #Î¨¥Î£åÏ§ëÍ≥Ñ #Ìï¥Ïô∏Ïä§Ìè¨Ï∏†Ï§ëÍ≥Ñ",FALSE,0,NA,2/2/18 21:07,FALSE,NA,9.59534E+17,NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>",Livetv777C,0,FALSE,FALSE,NA,NA
179,".@StephensonLance talks about getting under @KingJames skin. 

He told me what he feels he has to do in order to th‚Ä¶ https://t.co/G42Nmyr3tQ",FALSE,2,NA,2/2/18 21:07,TRUE,NA,9.59534E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AshNoelleTV,1,FALSE,FALSE,NA,NA
180,"Lonzo Ball, Kyle Kuzma and the Lakers share their road routines and rituals... https://t.co/dPKMRnkpc7 #Lakers‚Ä¶ https://t.co/6yWYPDoibo",FALSE,0,NA,2/2/18 21:07,TRUE,NA,9.59534E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",SoCalSports4You,0,FALSE,FALSE,NA,NA
181,"RT @BF6NEPats: Danny Ainge Strikes Again

Greg Monroe for only $5M is without a doubt a steal in my humble opinion.....

#NBA
#CELTICS
#Gre‚Ä¶",FALSE,0,NA,2/2/18 21:06,FALSE,NA,9.59534E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ShokiScientist,4,TRUE,FALSE,NA,NA
182,"RT @nbaextra: ‚≠ê Votre programme #NBA  
‚û°Ô∏è beIN SPORTS 1
Ì†ºÌøÄ 1H30 Indiana @ Charlotte https://t.co/Sc9j6NSeCn",FALSE,0,NA,2/2/18 21:06,FALSE,NA,9.59533E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",dje_sk,10,TRUE,FALSE,NA,NA
183,"RT @ASAP_SportsNews: NBA - On this day in 2009: @kobebryant drops 61 PTS at Madison Square Garden! #NBA 
 https://t.co/RgiwJBnOTx",FALSE,0,NA,2/2/18 21:06,FALSE,NA,9.59533E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ConsulESFJ,18,TRUE,FALSE,NA,NA
184,"Murray blows past Steven Adams
Nba Twitter ""Adam's solid defender, great play by Murray""
Russ blows past Jokic 
Nba‚Ä¶ https://t.co/vD3NDjqthS",FALSE,0,NA,2/2/18 21:06,TRUE,NA,9.59533E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JacobRoggero,0,FALSE,FALSE,NA,NA
185,"@HoustonRockets @TitosVodka NBA record for most points in a season is 4,029 (by Wilt Chamberlain). Best result of a‚Ä¶ https://t.co/gx5vjX3ART",FALSE,0,HoustonRockets,2/2/18 21:06,TRUE,9.59532E+17,9.59533E+17,19077044,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",kjnbareports,0,FALSE,FALSE,NA,NA
186,RT @SportsOnTheGo1: Sportsonthego1 3rd and Long Speedy Pete #superbowl52 #nba #mlb https://t.co/lDbptY5XLG,FALSE,0,NA,2/2/18 21:05,FALSE,NA,9.59533E+17,NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>",MsFutureLatosha,1,TRUE,FALSE,NA,NA
187,"RT @OnTheRotoRadar: OTRR COUNTDOWN: 1 hour!

Get ready for the best #NBA #DFS pod in the industry!

Today @RotoRadarCEO and @ericsports are‚Ä¶",FALSE,0,NA,2/2/18 21:05,FALSE,NA,9.59533E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DFSJorgy12,7,TRUE,FALSE,NA,NA
