"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"25429371","Sr. Advisor/Natl Spox | 2016 Campaign Spox @realdonaldtrump aka @POTUS #MAGA @americafirstpol @americafirstPAC SnapID: snapKatPierson1 &Inventor DAL ‚úàÔ∏è DCA Ì†ºÌ∑∫Ì†ºÌ∑∏",40940,378277,5825,2265,"https://t.co/pvs5wP8FBp","Katrina Pierson",2009-03-20 01:25:06,FALSE,TRUE,"KatrinaPierson","Washington, DC","en","25429371",2784,FALSE,"http://pbs.twimg.com/profile_images/960020951600689152/lG_iKqHD_normal.jpg"
"52136185","Personal attorney to President Donald J. Trump",9324,298815,7994,124,NA,"Michael Cohen",2009-06-29 18:11:49,FALSE,TRUE,"MichaelCohen212","New York","en","52136185",1661,FALSE,"http://pbs.twimg.com/profile_images/642687696473882624/jHvVFZYt_normal.jpg"
"15513604","America's #1 cable morning news show",78944,1136933,5412,1560,"https://t.co/xg790NQUNl","FOX & friends",2008-07-21 10:50:09,FALSE,TRUE,"foxandfriends","New York City","en","15513604",7838,FALSE,"http://pbs.twimg.com/profile_images/952249840884383744/8Xp95_Ip_normal.jpg"
"108471631","The official profile for Melania Trump",1394,948424,2,55,NA,"MELANIA TRUMP",2010-01-26 01:48:43,FALSE,TRUE,"MELANIATRUMP","New York City","en","108471631",3093,FALSE,"http://pbs.twimg.com/profile_images/726781589192069126/zg456hZZ_normal.jpg"
"246500501","loving husband and dad, loyal friend, fierce enemy, patriot, kick ass reporter, proud JewRican",7493,195818,613,591,"https://t.co/S2mJWiBvw9","Geraldo Rivera",2011-02-02 22:17:56,FALSE,TRUE,"GeraldoRivera","New York City","en","246500501",1872,FALSE,"http://pbs.twimg.com/profile_images/565927841381253120/-iHS2dYA_normal.jpeg"
"14839147","Formerly Fox News host. Represented by William Morris Endeavor (NY). Author, New York Times Bestsellers ""The Swamp"" and ‚ÄúWake Up America‚Äù",30459,928569,15,621,"https://t.co/l7cB6xeroe","Eric Bolling",2008-05-19 23:36:04,FALSE,TRUE,"ericbolling","NYC","en","14839147",4765,FALSE,"http://pbs.twimg.com/profile_images/847506007768965120/M_kAf9P6_normal.jpg"
"316865635","Official Mark Burnett Twitter Page - Taking you backstage and behind the scenes of some of the biggest hits on TV.",2706,205170,31,502,NA,"Mark Burnett",2011-06-14 02:36:07,FALSE,TRUE,"MarkBurnettTV","Los Angeles","en","316865635",1401,FALSE,"http://pbs.twimg.com/profile_images/623997267582693376/-C5wUdb5_normal.jpg"
"26829777","Black Knight, Grand Slam Golfer, Philanthropist, Father, Course Designer & Fitness Fanatic. I'm old, get over it. #family #faith  https://t.co/i7GsbD5eHD",22483,376988,434,2787,"https://t.co/66N4vOMM1L","Gary Player",2009-03-26 19:40:53,FALSE,TRUE,"garyplayer","South Africa","en","26829777",1927,FALSE,"http://pbs.twimg.com/profile_images/1097028105/gp_3_normal.jpg"
"1222639789","Vince McMahon, Chairman & CEO of WWE, Inc., is a third generation promoter who has made WWE into the global phenomenon it is today.",393,1983833,2,27,"https://t.co/VTqOjYiSh7","Vince McMahon",2013-02-26 18:06:09,FALSE,TRUE,"VinceMcMahon","Greenwich, Conn.","en","1222639789",3490,FALSE,"http://pbs.twimg.com/profile_images/956545058978885632/UURuOqef_normal.jpg"
"620571475","Personal Twitter handle.",10401,469624,3136,3,NA,"Dan Scavino Jr.",2012-06-28 02:45:39,FALSE,TRUE,"DanScavino","","en","620571475",3346,FALSE,"http://pbs.twimg.com/profile_images/954227978753445888/vvswuBFR_normal.jpg"
